;ESTADO_PROMESAS;MORA;VECES_EN_COBRANZAS;CUOTAS_ADEUDADAS_0;CUOTAS_ADEUDADAS_1;CUOTAS_ADEUDADAS_2;DIA_SEMANA_Friday;DIA_SEMANA_Monday;DIA_SEMANA_Thursday;DIA_SEMANA_Tuesday;DIA_SEMANA_Wednesday;PERIODO_DIA_mañana;PERIODO_DIA_tarde;PERIODO_DIA_noche;ANTIGUEDAD;DEUDAVENCIDA_ACTUAL;DEUDAVENCIDA_1MES;DEUDAVENCIDA_2MESES;DEUDA_TOTAL
149;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0.25;0.60086412955239;0.0;0.0;0.67281406669303
150;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0.25;0.4823204615310306;0.6625018682867573;0.0;0.5811512266026857
151;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0.25;0.6673876117178039;0.7755028261977396;0.0;0.4628456290446412
152;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0.25;0.5707172201664683;0.0;0.0;0.6196139249909678
153;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0.25;0.6529249248725542;0.0;0.0;0.1762164716954091
154;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0.75;0.3482060430910199;0.5775578292217459;0.5647697466234161;0.341190663053891
155;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0.25;0.3575212074397549;0.0;0.0;0.27841454326231463
156;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0.5;0.5513701663658548;0.7043424002311853;0.6718388333206138;0.42947333028821455
157;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0.5;0.5257897565527274;0.6246470095974923;0.6764180155275421;0.5552221990124147
158;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0.25;0.6410040876097722;0.0;0.0;0.7278847619918367
159;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0.75;0.37056768960614517;0.5941383012164905;0.0;0.47938109870105894
160;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0.25;0.4630082786506109;0.6509889618372545;0.6199942368603812;0.511365476763626
161;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0.5;0.6018941981675157;0.7715244660824642;0.0;0.3877325666691305
162;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0.5;0.6646518866399005;0.7773449766852074;0.0;0.7400320216608256
163;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0.5;0.18012996989782037;0.0;0.0;0.3961629393566817
164;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0.25;0.6487180010574003;0.7646407661315848;0.0;0.7511381046951742
165;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0.25;0.41465869363946495;0.0;0.5930968490904374;0.1884321156462736
166;0;1;1;0;1;0;0;1;0;0;0;1;0;0;1.0;0.5542364500381207;0.0;0.6762594028137813;0.2954528862529535
167;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0.25;0.541897553646673;0.7044168077808962;0.6684048094045474;0.6079895068733379
168;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0.25;0.0007824126106136253;0.0;0.413329003999346;0.7138940446963218
169;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0.5;0.511259656938813;0.0;0.0;0.768169195067449
170;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0.5;0.3762472187499225;0.6015500218771092;0.0;0.294142380600809
171;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0.25;0.6745456871321953;0.7803287320813365;0.7430826779022428;0.7873762303878051
172;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0.25;0.8258258229286901;0.7938527479554697;0.7526432944930205;0.564375199641127
173;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0.5;0.8092121958236715;0.802154071536728;0.0;0.7810727162107656
174;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0.5;0.5738707503312661;0.8440599465117494;0.0;0.7311559110415098
175;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0.25;0.47791948224526615;0.6705242770839138;0.6402389640480328;0.3085790717424064
176;0;1;1;0;0;1;0;0;0;1;0;0;1;0;1.0;0.1741975688291827;0.0;0.0;0.2140237912417755
177;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0.25;0.6565474308475836;0.0;0.7283826521831602;0.592310895012556
178;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0.25;0.7457922863141948;0.0;0.0;0.694704195394259
179;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0.75;0.3271316984732252;0.5692266610807915;0.5703387988992956;0.4985292484773467
180;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0.25;0.49417332019219473;0.7497366392687432;0.0;0.5480458444515275
181;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0.25;0.5263451978324762;0.68955606217318;0.6557949596826198;0.5674786694841296
182;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0.25;0.4909175350118675;0.0;0.0;0.5673404879103354
183;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0.5;0.4343640227630474;0.631290594664537;0.0;0.363235522158194
184;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0.5;0.4798086126583303;0.0;0.5512726523682097;0.10419177551585723
185;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0.5;0.8105979703992237;0.0;0.0;0.692804538240841
186;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0.5;0.4172291618520343;0.6193159722615337;0.5899879961006967;0.3367621705858381
187;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0.75;0.3696573560715577;0.0;0.0;0.20197060202274275
188;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0.25;0.5366619040489096;0.6391594625680268;0.6610373666411611;0.5841238669167454
189;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0.25;0.550686635528679;0.7839987114153416;0.0;0.6448142550712093
190;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0.5;0.8232715955606138;0.0;0.0;0.8691586381180658
191;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0.75;0.7358097703327087;0.817393052774269;0.22965654703106853;0.7866575908028597
192;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0.75;0.44534068826278106;0.5576383639068649;0.42445985991406704;0.26338196375741796
193;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0.75;0.552092925735852;0.701499785002466;0.6731503570141812;0.34330181486734523
194;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0.75;0.5743455525683483;0.7182955793415775;0.6862449212769175;0.5566706120085863
